,Name,Mocked hit for every stage,,,,,,Damage Dealt on Official Matches,,,,,,,,,
,,,,,,,,Day 1,,,Day 2,,,Day 3,,,
,,1,2,3,4,5,6,Stage,Damage,Killed,Stage,Damage,Killed,Stage,Damage,Killed,Notes
,Aztrus,100.00%,100.00%,100.00%,80.00%,15.00%,6.00%,5,22%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,21%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,22.19%,FALSE,,,FALSE,,,FALSE,
,Babyroth,100.00%,100.00%,100.00%,100.00%,50.00%,14.00%,6,14%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,13%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,17%,FALSE,,,FALSE,,,FALSE,
,Bilvaxx,100.00%,100.00%,100.00%,100.00%,18.00%,5.00%,5,21.8,FALSE,,,FALSE,,,FALSE,
,,,,,,,,4,94.79,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,32.49,FALSE,,,FALSE,,,FALSE,
,Cidolfus,100.00%,100.00%,100.00%,100.00%,65.00%,15.00%,6,14.48,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,41.03,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,49.00%,FALSE,,,FALSE,,,FALSE,
,Celes,100.00%,100.00%,100.00%,100.00%,34.00%,10.00%,5,26.15,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,22.63,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,19.81,TRUE,,,FALSE,,,FALSE,
,Cloud,100.00%,100.00%,100.00%,34.80%,4.40%,2.17%,3,2.00%,TRUE,,,FALSE,,,FALSE,Day 2 - hit 1 : decimals forgotten
,,,,,,,,2,100,TRUE,,,FALSE,,,FALSE,
,,,,,,,,1,100,TRUE,,,FALSE,,,FALSE,
,CloudedSky,100.00%,100.00%,100.00%,60.00%,7.00%,,4,51%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,4,54%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,4,46%,TRUE,,,FALSE,,,FALSE,
,Crusadors,100.00%,100.00%,100.00%,25.00%,6.00%,2.00%,1,100.00%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,2,100.00%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,3,100,TRUE,,,FALSE,,,FALSE,
,DDelaneyCA,100.00%,100.00%,100.00%,100.00%,35.00%,13.50%,6,17%,TRUE,,,FALSE,,,FALSE,Can hit 50% Stage 5
,,,,,,,,6,20.99,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,19.95,FALSE,,,FALSE,,,FALSE,
,Domi,100.00%,100.00%,100.00%,100.00%,50.00%,14.00%,6,14%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,17%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,17%,FALSE,,,FALSE,,,FALSE,
,Fayt,100.00%,100.00%,100.00%,40.00%,8.66%,3.00%,5,4.73%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,4,5.20%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,1,100.00%,TRUE,,,FALSE,,,FALSE,
,JakeRyan,100.00%,100.00%,100.00%,70.00%,13.50%,2.16%,4,43.00%,FALSE,,,FALSE,,,FALSE,Can hit 75% on stage 4
,,,,,,,,4,54%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,4,46.00%,TRUE,,,FALSE,,,FALSE,
,Jaksprat,100.00%,100.00%,100.00%,100.00%,30,13.5,6,13.74,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,12.9,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,10.58,FALSE,,,FALSE,,,FALSE,
,Jiggaman,100.00%,100.00%,100.00%,24.00%,6.00%,2.00%,1,100%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,2,100,TRUE,,,FALSE,,,FALSE,
,,,,,,,,3,97.26,FALSE,,,FALSE,,,FALSE,
,Kamio,100.00%,100.00%,100.00%,42.00%,10.00%,3.75%,3,100%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,5,6%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,2,100,TRUE,,,FALSE,,,FALSE,
,Kenny,100.00%,100.00%,100.00%,100.00%,14.87%,3.56%,5,20%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,13%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,4%,TRUE,,,FALSE,,,FALSE,
,Kevin,100.00%,100.00%,95.00%,27.00%,2.30%,0.80%,3,2.76,TRUE,,,FALSE,,,FALSE,
,,,,,,,,4,7.75,TRUE,,,FALSE,,,FALSE,
,,,,,,,,3,100,TRUE,,,FALSE,,,FALSE,
,Player1,100.00%,100.00%,100.00%,50.00%,30.00%,6.00%,5,28%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,0.35%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,5,9.04,TRUE,,,FALSE,,,FALSE,
,PlzGamerZL,100.00%,100.00%,100.00%,75.00%,17.00%,3.00%,4,100.00%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,5,12,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,8.00%,FALSE,,,FALSE,,,FALSE,
,Mardeleva,100.00%,100.00%,100.00%,63.40%,13.50%,4.65%,5,11%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,12.68%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,14%,FALSE,,,FALSE,,,FALSE,
,Reactive,100.00%,100.00%,100.00%,100.00%,40.00%,10.00%,6,11.25,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,14.86,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,13.69,FALSE,,,FALSE,,,FALSE,
,Seliphas,100.00%,100.00%,100.00%,35.00%,5.00%,1.75%,3,100.00%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,2,100.00%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,1,100.00%,TRUE,,,FALSE,,,FALSE,
,Sithcloud,100.00%,100.00%,100.00%,60.00%,14.00%,4.00%,5,18.09%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,17.88%,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,15%,FALSE,,,FALSE,,,FALSE,
,Skyward,100.00%,100.00%,100.00%,40.00%,6.00%,2.00%,1,100%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,2,100%,TRUE,,,FALSE,,,FALSE,
,,,,,,,,3,97.3,FALSE,,,FALSE,,,FALSE,
,TheEly,100.00%,100.00%,100.00%,73.18%,8.59%,2.44%,5,18.71,FALSE,,,FALSE,,,FALSE,
,,,,,,,,5,18.02,TRUE,,,FALSE,,,FALSE,
,,,,,,,,5,11.29,TRUE,,,FALSE,,,FALSE,
,Tiagozaki,100.00%,100.00%,100.00%,100.00%,20.00%,7.00%,5,24,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,3.5,FALSE,,,FALSE,,,FALSE,
,,,,,,,,6,6.38,TRUE,,,FALSE,,,FALSE,
,Todd,100.00%,100.00%,100.00%,52%,11.00%,2.00%,5,11.88%,FALSE,,,FALSE,,,FALSE,
