Timestamp,In-Game Name,Discord Name (If different),Your Guild,Your Time Zone,Battle release day banner?,Ruler of the Planet,Corruptor of the Planet,One with the Blade,Heaven's Cloud,Muramasa,Kikuichimonji,Shiranui,Golden Flower Kimono,Battler Ensemble,AC Style,Festive Blue Daffodil Attire,Passion Mermaid,Premium Heart,Shell Knuckles,Blue Daffodil Gloves,Leather Combat Gloves,Garb of the Possessed,Guardian Corps Uniform,Classic Coney,Abraxas,Terra's Rod,Lightning's Rod,Crimson Staff,Egg Staff,Garb of the World-Ender,Cape of the Worthy,Celebratory Garb,Genji Blade,Withering Blaze,Phoenix Odachi,Blade of the Worthy,Radiant Edge,Shinra Ceremonial Uniform,Aldebaran,Shinra Ceremonial Rifle,Marine Shooter,Rose Musket,Pirate Navigator ,Limited Moon,Pirate Collar,Patissier's Collar,Ivy Collar,Rage Collar,Guardian Style,Rabbit Butler,Surfer Look,Durandal,Stream Guard,Sword of the Hunt,Ifrit,Ifrit & Bahamut,Memoria of 2B,Memoria of Stilva,Lightning: Army of One,Whirling Ravager,Fira/Refined Fira Materia (11% Pot. or higher) Owned,Fira/Refined Fira Materia (8-10% Pot.) Owned,Fira/Refined Fira Materia (0-7% Pot.) Owned
2026-02-12 20:06:29,Totenkopf,,SOLDIER 3rd,UTC+01:00 - Central European Time (CET),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Own,Own,OB4,OB2,OB2,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,OB10,OB8,OB4,Do Not Own,Own,Do Not Own,Do Not Own,OB2,OB4,OB2,OB10,Do Not Own,Do Not Own,Do Not Own,Own,OB10,OB2,OB5,OB10,Do Not Own,Own,OB3,OB9,OB10,Do Not Own,Own,OB3,Do Not Own,OB10,OB10,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB4,OB10,Level 10,Level 8,Level 10,Level 10,Level 5,Level 5,2,2,3+
2026-02-12 20:13:08,Gxa,,SOLDIER 3rd,UTC−05:00 - Eastern Standard Time (EST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Do Not Own,Do Not Own,OB5,OB2,OB1,Do Not Own,Own,Own,Do Not Own,Do Not Own,Do Not Own,OB10,5 Star,OB3,Do Not Own,Own,Do Not Own,Own,OB5,OB3,5 Star,OB5,Do Not Own,Do Not Own,Do Not Own,Do Not Own,5 Star,OB3,Do Not Own,OB3,Do Not Own,Own,Do Not Own,OB6,OB10,Do Not Own,Do Not Own,OB5,Do Not Own,OB1,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Level 10,Level 3,Level 10,Level 10,Level 5,Level 5,2,3+,3+
2026-02-12 20:13:41,JiggaMan,,SOLDIER,UTC−08:00 - Pacific Standard Time (PST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Do Not Own,Own,Do Not Own,5 Star,OB6,Do Not Own,Own,Own,Own,Own,Own,OB10,OB10,OB6,Own,Own,Do Not Own,Own,OB6,OB7,OB8,OB10,Do Not Own,Own,Own,Own,OB10,OB3,OB2,OB10,Own,Own,OB7,OB10,OB10,Own,Own,OB6,Do Not Own,OB10,OB10,Do Not Own,Do Not Own,Own,Do Not Own,OB1,OB10,Level 10,Level 10,Level 10,Level 10,Level 5,Level 5,1,1,3+
2026-02-12 20:27:54,Tiagozaki,,SOLDIER,UTC+01:00 - Central European Time (CET),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Own,Own,OB4,OB6,OB6,Do Not Own,Own,Own,Own,Own,Own,OB10,OB10,OB10,Own,Own,Do Not Own,Own,OB7,OB6,OB10,OB10,Own,Own,Own,Own,OB10,OB1,OB10,OB10,Own,Own,OB6,OB10,OB10,Own,Own,OB6,Do Not Own,OB10,OB10,Own,Do Not Own,Do Not Own,Do Not Own,OB5,OB10,Level 10,Level 10,Level 10,Level 10,Level 5,Level 5,0,3+,3+
2026-02-12 20:42:42,Diablos,,SOLDIER 3rd,UTC+07:00 - Indochina Time (ICT),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Do Not Own,Own,Do Not Own,OB7,OB1,Do Not Own,Own,Do Not Own,Own,Own,Own,OB10,OB5,5 Star,Do Not Own,Do Not Own,Do Not Own,Own,OB10,Do Not Own,OB10,OB10,Do Not Own,Own,Own,Own,OB10,Do Not Own,OB8,OB10,Do Not Own,Own,Do Not Own,OB10,OB5,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB10,OB10,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB7,OB10,Level 10,Level 9,Level 10,Level 10,Level 4,Level 4,0,0,3+
2026-02-12 20:51:16,Niletak,Katelin,SOLDIER 4th,UTC−06:00 - Central Standard Time (CST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Own,Own,OB3,OB1,5 Star,Do Not Own,Do Not Own,Own,Own,Do Not Own,Own,OB10,OB7,OB2,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB1,OB1,OB6,OB10,Do Not Own,Do Not Own,Do Not Own,Own,OB9,Do Not Own,OB1,OB10,Own,Do Not Own,OB6,OB10,OB10,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB10,OB10,Own,Own,Do Not Own,Own,OB6,OB9,Level 10,Level 9,Level 10,Level 10,Level 5,Level 5,1,3+,1
2026-02-12 20:53:13,Ultimazing,Ultimazing,SOLDIER,UTC−05:00 - Eastern Standard Time (EST),Yes - Possibly To OB6,Own,Own,Own,Do Not Own,OB6,OB3,OB10,Own,Own,Own,Own,Do Not Own,Own,OB10,OB10,OB7,Own,Own,Do Not Own,Own,OB7,OB6,OB10,OB10,Own,Own,Own,Own,OB10,OB6,OB10,OB10,Own,Own,OB10,OB10,OB10,Own,Do Not Own,OB7,OB6,OB10,OB10,Do Not Own,Own,Do Not Own,Do Not Own,OB6,OB8,Level 12,Level 10,Level 10,Level 10,Level 5,Level 5,0,3+,3+
2026-02-12 21:16:25,Reactive ,,SOLDIER,UTC−05:00 - Eastern Standard Time (EST),Yes - Possibly To OB6,Own,Own,Own,Own,OB8,OB6,OB10,Own,Own,Own,Own,Own,Own,OB10,OB10,OB10,Own,Own,Do Not Own,Own,OB6,OB6,OB10,OB10,Own,Own,Own,Own,OB10,OB6,OB10,OB10,Own,Own,OB10,OB10,OB10,Own,Own,OB7,OB3,OB10,OB10,Own,Own,Own,Own,OB10,OB10,Level 10,Level 10,Level 10,Level 10,Level 5,Level 5,3+,3+,3+
2026-02-12 21:54:46,Cloudedsky,Cloudedsky777,SOLDIER,UTC−07:00 - Mountain Standard Time (MST),Yes - Possibly To OB10,Own,Own,Own,Own,OB3,OB4,OB7,Do Not Own,Own,Own,Own,Own,Own,OB10,OB10,OB10,Own,Own,Do Not Own,Own,OB7,OB6,OB6,OB9,Do Not Own,Own,Do Not Own,Own,OB10,OB1,OB3,OB9,Do Not Own,Do Not Own,OB1,OB6,OB2,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB10,OB8,Own,Do Not Own,Do Not Own,Do Not Own,OB5,OB3,Level 10,Level 5,Level 10,Level 10,Level 4,Level 4,1,3+,3+
2026-02-12 22:13:40,Babyroth,Babyroth,SOLDIER,UTC+07:00 - Indochina Time (ICT),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Own,Own,OB10,OB10,OB10,Own,Own,Own,Own,Own,Own,OB10,OB10,OB10,Own,Own,Do Not Own,Own,OB6,OB6,OB7,OB10,Own,Own,Own,Own,OB10,OB10,OB10,OB10,Own,Own,OB6,OB10,OB10,Own,Own,OB6,OB10,OB10,OB10,Own,Do Not Own,Do Not Own,Do Not Own,OB10,OB10,Level 12,Level 10,Level 10,Level 10,Level 5,Level 5,3+,3+,3+
