Timestamp,In-Game Name,Discord Name (If different),Your Guild,Your Time Zone,Battle release day banner?,Ruler of the Planet,Corruptor of the Planet,One with the Blade,Conqueror of the Planet,Omega Style,Heaven's Cloud,Muramasa,Masamune,Battler Ensemble,AC Style,Festive Blue Daffodil Attire,Festive Style,Seventh High School Uniform,Premium Heart,Dragon Claw,Class President's Bracelet,Motor Drive,Blue Daffodil Gloves,Leather Combat Gloves,Demon's Impetus,Festive Gloves,Garb of the Possessed,Prism Dress,Festive Dress,Bahamut Robe,Abraxas,Princess Guard,Kamura Wand,Rousing Wizer Staff,Festive Rod,Floral Wand,Garb of the World-Ender,Cape of the Worthy,Custom Suit,Shinra Formal Uniform,Dark Harbinger,Infiltration Style,Genji Blade,Metsumato,Phoenix Odachi,Blade of the Worthy,Infiltration Sword,Dark Heavens,Shinra Military Sword,AC Mode,Bahamut Garb,Equilibrium,Holiday Outfit,Classic Dress,Ragnarok,Fusion Sword,Noble Parasol,Patissier Outfit,Brisingamen,Limited Moon,Silver Collar,Brilliant Collar,Auditing Uniform,Coat of the Worthy,Chaos,Death Penalty,Fomalhaut,Transgressor,Shortbarrel,Chrome Death Penalty,Festive Jacket,Rabbit Butler,Surfer Look,Heavy Shield Armor,Durandal,Divine Emissary,Festive Sword,Surfer Blade,Beatrix Sword,Battering Sword,Nocturne Jacket,HP Shout,Nocturne Horn,Quina Megaphone,Holiday Cheer Reindeer,Heirloom Kimono,Savior Ensemble,Sparkling Skater,Rising Sun,Conformer,Diner Tray,Heirloom Brush,Rocker's Guitar,Holiday Bell,Seventh High Athletic Gear,Missing Score,Fafnir Rifle,Teacher's Paper Fan,Odin,Memoria of DC Ep. 3,Memoria of DC Ep. 1,Lightning: Army of One,Aero Blow/Refined Aero Blow Materia (11% Pot. or higher) Owned,Aero Blow/Refined Aero Blow Materia (8-10% Pot.) Owned,Aero Blow/Refined Aero Blow Materia (0-7% Pot.) Owned
2026-06-10 23:32:29,Jakeryan00,,SOLDIER,UTC−06:00 - Central Standard Time (CST),Yes - Possibly To OB10,Own,Own,Own,Own,Own,Own,OB10,OB10,Own,Do Not Own,Own,Own,Own,Own,Own,OB10,OB10,OB6,OB6,OB3,OB6,Own,Do Not Own,Own,Own,Own,Own,OB2,OB1,OB10,OB10,Do Not Own,Own,Do Not Own,Own,Own,Do Not Own,Own,Own,OB1,OB9,OB1,OB10,OB10,Do Not Own,Own,Own,Own,Do Not Own,Own,OB10,OB1,Do Not Own,Do Not Own,Own,OB10,OB7,Own,Do Not Own,Do Not Own,Own,Own,OB4,OB5,OB1,Own,Do Not Own,Do Not Own,Own,Own,Own,OB10,OB10,OB2,OB10,Do Not Own,Own,OB1,OB2,Do Not Own,Own,Own,Own,Own,Own,OB10,OB2,OB10,OB4,Do Not Own,Do Not Own,5 Star,OB1,Level 10,Level 10,Level 10,Level 5,1,2,3+
2026-06-11 00:09:43,Ultiminy,Ultimazing,SOLDIER,UTC−05:00 - Eastern Standard Time (EST),Yes - Possibly To OB6,Own,Own,Own,Own,Own,Own,OB6,OB6,Own,Own,Own,Own,Own,Own,Own,OB10,OB10,OB10,OB10,OB6,OB7,Own,Do Not Own,Own,Own,Own,Own,Do Not Own,OB10,OB10,OB10,Own,Own,Do Not Own,Do Not Own,Do Not Own,Own,Own,Own,OB6,OB10,OB7,OB9,OB10,Own,Own,Own,Own,Own,Own,OB10,OB7,Own,Own,Own,OB10,OB10,Own,Own,Own,Own,Own,OB10,OB10,OB10,Own,Own,Own,Own,Do Not Own,Own,OB10,OB10,Do Not Own,OB10,Own,Own,OB10,Do Not Own,Own,Own,Own,Do Not Own,Own,Own,OB10,OB2,OB10,OB10,Own,Own,OB10,OB10,Level 10,Level 10,Level 10,Level 5,2,2,3+
2026-06-11 01:31:38,JiggaMan,JiggaMan,SOLDIER,UTC−08:00 - Pacific Standard Time (PST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Do Not Own,Own,Do Not Own,Own,Do Not Own,OB10,Own,Own,Own,Own,Own,Own,Own,OB6,OB10,OB10,OB6,5 Star,OB7,Own,Do Not Own,Own,Own,Own,Own,OB6,5 Star,OB10,OB10,Do Not Own,Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,Own,OB3,OB5,Do Not Own,OB10,OB10,Own,Own,Own,Own,Do Not Own,Own,OB10,Do Not Own,Do Not Own,Do Not Own,Own,OB10,OB10,Do Not Own,Own,Do Not Own,Own,Do Not Own,OB4,OB10,Do Not Own,Own,Do Not Own,Own,Do Not Own,Do Not Own,Own,OB7,OB10,Do Not Own,OB7,Do Not Own,Do Not Own,OB6,OB1,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,Do Not Own,OB10,Do Not Own,OB10,OB10,Do Not Own,Do Not Own,OB7,Do Not Own,Level 10,Level 10,Level 10,Level 5,3+,3+,3+
2026-06-11 01:46:55, Reik,Reik,SOLDIER 2nd,UTC−08:00 - Pacific Standard Time (PST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Do Not Own,Do Not Own,Do Not Own,Own,5 Star,OB10,Own,Own,Own,Own,Own,Own,Own,OB6,OB10,OB8,OB6,OB6,OB2,Do Not Own,Do Not Own,Own,Own,Own,Own,OB6,5 Star,OB2,OB10,Do Not Own,Own,Do Not Own,Do Not Own,Own,Do Not Own,Own,Do Not Own,5 Star,OB1,Do Not Own,OB10,OB10,Own,Own,Do Not Own,Do Not Own,Own,Own,OB10,OB7,Do Not Own,Do Not Own,Own,OB10,OB10,Do Not Own,Do Not Own,Own,Own,Do Not Own,5 Star,OB10,OB6,Own,Do Not Own,Do Not Own,Own,Do Not Own,Own,OB10,OB10,Do Not Own,OB10,Own,Own,OB4,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,Own,Do Not Own,OB10,Do Not Own,OB10,OB10,Own,Own,OB6,OB7,Level 10,Level 10,Level 10,Level 5,2,3+,3+
2026-06-11 02:55:37,Saltydog ,,SOLDIER 2nd,UTC+01:00 - Central European Time (CET),Yes - Possibly To OB6,Own,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,Do Not Own,OB10,Own,Do Not Own,Own,Own,Own,Own,Own,OB6,OB10,OB6,OB6,OB1,OB1,Own,Own,Own,Own,Own,Own,OB6,OB6,OB2,OB10,Do Not Own,Own,Do Not Own,Do Not Own,Own,Do Not Own,Own,Do Not Own,OB2,OB6,Do Not Own,OB10,OB10,Own,Own,Own,Own,Own,Own,OB6,OB6,Do Not Own,Do Not Own,Do Not Own,OB10,OB6,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,OB10,Do Not Own,Own,Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB6,OB6,Do Not Own,OB6,Do Not Own,Own,OB4,Do Not Own,Own,Do Not Own,Own,Do Not Own,Own,Own,OB10,Do Not Own,OB6,OB6,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Level 10,Level 10,Level 10,Level 5,3+,3+,3+
2026-06-11 06:58:05,Zelarith,,SOLDIER,UTC+01:00 - Central European Time (CET),Yes - Possibly To OB6,Own,Own,Own,Own,Do Not Own,Own,OB6,OB10,Own,Do Not Own,Own,Own,Do Not Own,Own,Own,Do Not Own,OB10,OB6,OB6,Do Not Own,OB6,Own,Own,Do Not Own,Own,Own,Do Not Own,OB6,5 Star,5 Star,OB10,Own,Own,Do Not Own,Do Not Own,Own,Do Not Own,Own,Do Not Own,OB7,OB6,Do Not Own,OB10,OB10,Own,Own,Own,Own,Own,Own,OB6,OB6,Do Not Own,Do Not Own,Own,OB10,OB10,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,OB2,OB10,Do Not Own,Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,OB10,OB10,Do Not Own,OB8,Do Not Own,Own,OB8,Do Not Own,Do Not Own,Own,Own,Do Not Own,Own,Do Not Own,OB10,OB2,OB10,OB10,Do Not Own,Do Not Own,OB6,Do Not Own,Level 10,Level 10,Level 10,Level 5,1,3+,3+
2026-06-11 08:21:19,Lyte,Lyte,SOLDIER 2nd,UTC−04:00 - Atlantic Standard Time (AST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Do Not Own,Own,Own,Do Not Own,Do Not Own,OB10,Own,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB10,OB2,OB2,OB2,OB6,Do Not Own,Do Not Own,Do Not Own,Own,Own,Do Not Own,Do Not Own,OB6,OB1,OB10,Do Not Own,Own,Own,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,OB7,Do Not Own,OB10,5 Star,Do Not Own,Own,Own,Own,Do Not Own,Do Not Own,OB5,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB10,OB10,Own,Do Not Own,Own,Do Not Own,Own,OB10,OB5,OB3,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB1,OB5,Do Not Own,OB5,Own,Do Not Own,OB6,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB10,Do Not Own,OB4,OB5,Do Not Own,Do Not Own,OB4,Do Not Own,Level 10,Level 10,Level 10,Level 5,2,2,3+
2026-06-11 09:08:29,Marauderi,,SOLDIER,UTC+03:00 - East Africa Time (EAT),Yes - Possibly To OB6,Own,Own,Do Not Own,Own,Do Not Own,Own,Do Not Own,OB10,Own,Own,Own,Own,Own,Own,Own,OB10,OB10,OB10,OB6,OB6,OB10,Do Not Own,Do Not Own,Own,Own,Own,Own,OB1,5 Star,OB1,OB10,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,OB1,Do Not Own,OB10,OB10,Own,Own,Own,Own,Own,Own,OB7,OB6,Do Not Own,Do Not Own,Do Not Own,OB10,OB10,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,5 Star,OB10,Do Not Own,Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,OB6,OB10,Do Not Own,OB7,Do Not Own,Do Not Own,OB4,Do Not Own,Do Not Own,Do Not Own,Own,Own,Do Not Own,Do Not Own,OB10,Do Not Own,OB10,OB10,Do Not Own,Own,OB6,Do Not Own,Level 10,Level 10,Level 10,Level 5,3+,3+,3+
2026-06-11 11:16:58,Seliphas,,SOLDIER,UTC−06:00 - Central Standard Time (CST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Do Not Own,Own,Do Not Own,Own,5 Star,OB10,Do Not Own,Own,Own,Own,Do Not Own,Own,Do Not Own,Do Not Own,OB10,OB3,OB7,Do Not Own,OB1,Do Not Own,Own,Do Not Own,Own,Own,Do Not Own,Do Not Own,OB6,Do Not Own,OB10,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,OB2,Do Not Own,OB10,OB10,Own,Do Not Own,Do Not Own,Do Not Own,Own,Own,OB10,OB6,Do Not Own,Do Not Own,Do Not Own,OB10,OB10,Own,Own,Own,Own,Own,OB10,OB10,OB6,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,OB6,OB6,Do Not Own,OB8,Own,Own,OB10,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,Own,Do Not Own,OB10,Do Not Own,OB8,OB10,Do Not Own,Do Not Own,5 Star,Do Not Own,Level 10,Level 10,Level 10,Level 5,2,3+,3+
2026-06-11 12:03:34,cyber-cyco,,SOLDIER,UTC−08:00 - Pacific Standard Time (PST),Unsure/Probably not/It depends/Prefer not to answer,Own,Own,Own,Own,Do Not Own,Own,OB1,OB10,Do Not Own,Own,Own,Own,Own,Do Not Own,Own,OB6,OB10,OB7,OB7,Do Not Own,OB10,Do Not Own,Own,Do Not Own,Own,Own,Own,OB1,5 Star,5 Star,OB10,Do Not Own,Own,Do Not Own,Own,Own,Do Not Own,Own,Own,Do Not Own,OB6,Do Not Own,OB10,OB10,Own,Own,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB6,Do Not Own,Do Not Own,Do Not Own,Do Not Own,OB10,OB10,Own,Do Not Own,Own,Own,Do Not Own,OB6,OB10,OB2,Do Not Own,Do Not Own,Do Not Own,Do Not Own,Own,Do Not Own,Do Not Own,OB10,Do Not Own,OB6,Do Not Own,Own,OB5,Do Not Own,Do Not Own,Own,Do Not Own,Own,Do Not Own,Own,OB10,OB6,OB10,OB10,Do Not Own,Do Not Own,OB1,Do Not Own,Level 10,Level 10,Level 10,Level 5,0,3+,3+
