Owned		Gear
TRUE		Bahamut Robe
FALSE		Chocobo Suit
TRUE		Citric Dress
FALSE		Classic Coney
TRUE		Fairy of Snowfall
TRUE		Festive Crimson Attire
TRUE		Festive Dress
TRUE		Floral Gown
TRUE		Garb of the Possessed
TRUE		Garnet's Gown
TRUE		Gorgeous Dress
TRUE		Guardian Corps Uniform (Aerith)
TRUE		Kamura Dress
TRUE		Loveless Songstress
TRUE		Pink Mermaid Beachwear
TRUE		Prism Dress
TRUE		Rosy Battle Suit
TRUE		Seventh High Team Cetra Uniform
TRUE		Sunny Robe
TRUE		Supreme Sage Garb
TRUE		Terra's Garb
TRUE		The Slums' Flower Girl
TRUE		Cyan's Attire
TRUE		Festive Suit
TRUE		Garb of the Worthy
TRUE		Genial SOLDIER: Second Class
TRUE		Ghost Robe
TRUE		Honorable Training Garb
TRUE		Resort Style
TRUE		Shinra Expedition Wear
TRUE		Avalanche Leader
TRUE		Dragon King Varvados
TRUE		Electroarmor
TRUE		Fiery Cape
TRUE		Scrap Armor
TRUE		Seventh High Athletic Gear
TRUE		Sunrise Hakama
TRUE		Cool Cat's Jacket
TRUE		Felyne Kamura Garb
TRUE		Marching Jacket
TRUE		Nocturne Jacket
TRUE		Party Jacket
TRUE		Pumpkin Jacket
TRUE		Self-Professed Fortune-Teller
TRUE		Astronaut
TRUE		Dark Flyer
TRUE		Flying Captain
TRUE		Holidays Attire
TRUE		Patissier Frock
TRUE		Sky-Loving Pilot
TRUE		AC Mode
TRUE		Bahamut Garb
TRUE		Bandaged Coat
TRUE		Battlefiend Garb
TRUE		Classic Dress
TRUE		Equilibrium
TRUE		Erdrick's Armour
TRUE		Ex-SOLDIER: First Class
TRUE		Glavenus Armor
TRUE		Holiday Outfit
TRUE		Locke's Outfit
TRUE		Maritime Sailor
TRUE		Murasame Battle Garb
TRUE		Mystic Coat
TRUE		New Year's Battle Garb
TRUE		Official Festive Garb
TRUE		Polygon Cloud
TRUE		Rider Style
TRUE		Saber Style
TRUE		Scanner Ensemble
TRUE		The Sable
TRUE		Zidane's Outfit
TRUE		Cake Breaker
TRUE		Desperado Mantle
TRUE		Doom Dodger
TRUE		Garish Hakama
TRUE		Patissier Style
TRUE		Pirate Captain
TRUE		Pumpkinmare
TRUE		Snow Style
TRUE		Training Garb of Ruin
TRUE		Unprecedented P0 SOLDIER
TRUE		Vanguard Style
TRUE		Beach Agent
TRUE		Black Stealth
TRUE		Dealer's Tailcoat
TRUE		Desperado Chic
TRUE		Disciplined P0 SOLDIER
TRUE		Entrapment Gown
TRUE		Gothic Bunny
TRUE		Holiday Coat
TRUE		Marksqueen
TRUE		Shinra Ceremonial Uniform
TRUE		Vivi's Garb
TRUE		Aidman's White Coat
TRUE		Dark Night Robe
TRUE		Desperado Style
TRUE		Elite Uniform
TRUE		Holiday Helper
TRUE		Intellectual P0 SOLDIER
TRUE		Killer Attire
