Owned	Lv		Weapon
FALSE	Lv 140		Abraxas [2 Uses]
TRUE	Lv 130		Princess Guard [2 Uses]
FALSE	Lv 140		Ultimate Guard Stick [1 Use]
TRUE	Lv 140		Balmung [3 Uses]
TRUE	Lv 140		Ultimate Type-90 Longsword [1 Use]
TRUE	Lv 140		Missing Score [2 Uses]
TRUE	Lv 140		Ultimate Gatling Gun [1 Use]
TRUE	Lv 140		HP Shout [2 Uses]
TRUE	Lv 140		Ultimate Yellow Megaphone [1 Use]
TRUE	Lv 140		Ultimate Spear [1 Use]
TRUE	Lv 140		Venus Gospel [2 Uses]
TRUE	Lv 140		Ragnarok [2 Uses]
TRUE	Lv 140		Ultimate Buster Sword [1 Use]
TRUE	Lv 140		Ogrekiller [3 Uses]
TRUE	Lv 140		Ultimate Personal Style [1 Use]
TRUE	Lv 140		Aldebaran [3 Uses]
TRUE	Lv 140		Total Eclipse [2 Uses]
TRUE	Lv 140		Ultimate V39 [1 Use]
TRUE	Lv 140		Gladius [2 Uses]
TRUE	Lv 140		Ultimate Broadsword: Axis [1 Use]
TRUE	Lv 140		Brisingamen [2 Uses]
TRUE	Lv 140		Limited Moon [2 Uses]
TRUE	Lv 140		Ultimate Leather Collar [1 Use]
TRUE	Lv 140		Genji Blade [2 Uses]
TRUE	Lv 140		Metsumato [3 Uses]
TRUE	Lv 140		Ultimate Nameless [1 Use]
TRUE	Lv 140		Heaven's Cloud [3 Uses]
TRUE	Lv 140		Ultimate Masamune [1 Use]
TRUE	Lv 140		Dragon Claw [2 Uses]
TRUE	Lv 140		Premium Heart [3 Uses]
TRUE	Lv 140		Ultimate Leather Gloves [1 Use]
TRUE	Lv 140		Death Penalty [2 Uses]
TRUE	Lv 140		Fomalhaut [2 Uses]
TRUE	Lv 140		Ultimate Quicksilver [1 Use]
TRUE	Lv 140		Conformer [2 Uses]
TRUE	Lv 140		Rising Sun [2 Uses]
TRUE	Lv 140		Ultimate 4-Point Shuriken [1 Use]
TRUE	Lv 140		Divine Emissary [2 Uses]
TRUE	Lv 140		Durandal [3 Uses]
TRUE	Lv 140		Ultimate Type-99 Longsword [1 Use]
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
FALSE			
