Overboost	Level		Weapon
Unowned	Lv 90		Bahamut Rod
OB 6	Lv 80		Chocobo Staff
OB 10	Lv 140		Citric Wand
OB 10	Lv 140		Crimson Staff
OB 10	Lv 140		Dawn's Prayers
OB 10	Lv 140		Egg Staff
OB 10	Lv 140		Fairy Tale
OB 10	Lv 140		Festive Rod
OB 10	Lv 140		Floral Wand
OB 10	Lv 140		Full Metal Staff
OB 10	Lv 140		Gambanteinn
OB 10	Lv 140		Garnet's Rod
OB 10	Lv 140		Gorgeous Staff
OB 10	Lv 140		Guard Stick
OB 10	Lv 140		Hell House Rod
OB 10	Lv 140		Kamura Wand
OB 10	Lv 140		Lightning's Rod
OB 10	Lv 140		Magatsuchi Rod
OB 10	Lv 140		Mermaid Rod
OB 10	Lv 140		Mythril Rod
OB 10	Lv 140		Noblesse Rod
OB 10	Lv 140		Prism Rod
OB 10	Lv 140		Radrod
OB 10	Lv 140		Ramuh's Staff
OB 10	Lv 140		Rousing Wizer Staff
OB 10	Lv 140		Sea Dragon Staff
OB 10	Lv 140		Silver Staff
OB 10	Lv 140		Snowflake
OB 10	Lv 140		Staff of the Possessed
OB 10	Lv 140		Striking Staff
OB 10	Lv 140		Sun Umbrella
OB 10	Lv 140		Supreme Sage's Staff
OB 10	Lv 140		Team Leader's Bamboo Sword
OB 10	Lv 140		Terra's Rod
OB 10	Lv 140		Titan Rod
OB 10	Lv 140		Umbrella
OB 10	Lv 140		Wizard Staff
OB 10	Lv 140		Wizer Staff
OB 10	Lv 140		Blade of the Hunt
OB 10	Lv 140		CC Alloy Greatsword
OB 10	Lv 140		Cyan's Blade
OB 10	Lv 140		Festive Blade
OB 10	Lv 140		Gargantuan Monolith
OB 10	Lv 140		Ghost Ensis
OB 10	Lv 140		Greatsword (A)
OB 10	Lv 140		Greatsword of the Worthy
OB 10	Lv 140		Inflatable Buster Sword
OB 10	Lv 140		Innocent Warrior
OB 10	Lv 140		Lightning's Sword
OB 10	Lv 140		Master Tonberry's Blade
OB 10	Lv 140		Mythril Slasher
OB 10	Lv 140		Orchard Shovel
OB 10	Lv 140		Penance Blade
OB 10	Lv 140		Rhad Blade
OB 10	Lv 140		Sea Dragon Greatsword
OB 10	Lv 140		Sequoiadendron
OB 10	Lv 140		Shinra Greatsword: Model I
OB 10	Lv 140		Stalwart Integrity
OB 10	Lv 140		Titan Blade
OB 10	Lv 140		Tranquility
OB 10	Lv 140		Turks' Blade
OB 10	Lv 140		Type-90 Longsword
OB 10	Lv 140		Type-91 Two-Hander
OB 10	Lv 140		Volcanic Heat
OB 10	Lv 140		Assault Gun
OB 10	Lv 140		Electrocannon
OB 10	Lv 140		Enemy Launcher
OB 10	Lv 140		Escutcheon Cannon
OB 10	Lv 140		Fafnir Rifle
OB 10	Lv 140		Flame Projector
OB 10	Lv 140		Gatling Gun
OB 10	Lv 140		Heavy Hauser
OB 10	Lv 140		Heavy Vulcan
OB 10	Lv 140		Hell House Cannon
OB 10	Lv 140		Hook Launcher
OB 10	Lv 140		Lefko Kypseli
OB 10	Lv 140		Leviathan Buster
OB 10	Lv 140		Max Ray
OB 10	Lv 140		Microlaser
