Id	Character	Name	Ability Name	Ability Element	Ability Pot. %	Ability Range	Ability Text	Ability Type	Command ATB	Command Sigil	Effect0	Effect0_Condition	Effect0_Custom	Effect0_Duration	Effect0_EffectCount	Effect0_Extend	Effect0_Pot	Effect0_PotMax	Effect0_Range	Effect0_Type	Effect1	Effect1_Condition	Effect1_Custom	Effect1_Duration	Effect1_EffectCount	Effect1_Extend	Effect1_Pot	Effect1_PotMax	Effect1_Range	Effect1_Type	Effect2	Effect2_Condition	Effect2_Custom	Effect2_Duration	Effect2_EffectCount	Effect2_Extend	Effect2_Pot	Effect2_PotMax	Effect2_Range	Effect2_Type	Effect3	Effect3_Condition	Effect3_Custom	Effect3_Duration	Effect3_Extend	Effect3_Pot	Effect3_PotMax	Effect3_Range	Effect3_Type	Effect4	Effect4_Custom	Effect4_Duration	Effect4_Extend	Effect4_Pot	Effect4_Range	Effect4_Type	Effect5	Effect5_Custom	Effect5_Extend	Effect5_Pot	Effect5_PotMax	Effect5_Range	Effect5_Type	GachaType	Initial Charge Time	MateriaSupport0	MateriaSupport1	MateriaSupport2	Recharge Time	Use Count
1001	Cloud	Buster Sword	Braver	Non-Elemental	750.0	Single Enemy	Deal 750.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] \nWhen matching sigils are destroyed, x1.5 damage 	Phys.	4	✕ Cross	Crit Rate						10.0%		Single Enemy	AdditionalEffect	Multiply Damage	When matching sigils are destroyed					150.0%		Single Enemy	AdditionalEffect																																		Event		ATK Boost I	ATK Boost I	PATK Boost I		No limit
1002	Cloud	Iron Blade	Blast Wave	Non-Elemental	350.0	All Enemies	Deal 350.0% Phys. Non-Elemental damage [Rng: All Enemies] \nPATK Down [Pot: Mid] [Rng: All Enemies] [Dur: 25s] [Ext: 8s] [Max pot: Mid] \n[Crit rate:10.0%] 	Phys.	4		PATK Down			25		8	Mid	Mid	All Enemies	BuffDebuff	Crit Rate						10.0%		All Enemies	AdditionalEffect																																		Featured		PATK Boost I	PATK Boost I	ATK Boost (Wind) I		No limit
1003	Cloud	Hardedge	Armor Break	Non-Elemental	510.0	Single Enemy	Deal 510.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nPDEF Down [Pot: High] [Rng: Single Enemy] [Dur: 25s] [Ext: 8s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	4		PDEF Down			25		8	High	High	Single Enemy	BuffDebuff	Crit Rate						10.0%		Single Enemy	AdditionalEffect																																		Featured		ATK Boost I	ATK Boost I	PATK Boost I		No limit
1004	Cloud	Mythril Saber	Blade Burst	Non-Elemental	940.0	Single Enemy	Deal 940.0% Mag. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Mag.	4		Crit Rate						10.0%		Single Enemy	AdditionalEffect																																												Featured		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1006	Cloud	Butterfly Edge	Stalwart Barrier	Heal	14.0	Single Ally	Mag. heal is cast [14.0% of Healing Pot.] [Rng: Single Ally] \nPDEF Up [Pot: High] [Rng: Single Ally] [Dur: 38s] [Ext: 12s] [Max pot: High] 	Mag.	4		PDEF Up			38		12	High	High	Single Ally	BuffDebuff																																												Featured		ATK Boost I	ATK Boost I	ATK Boost (Ice) I		No limit
1007	Cloud	Murasame	Thunderstrike	Lightning	750.0	Single Enemy	Deal 750.0% Phys. Lightning damage [Rng: Single Enemy] 	Phys.	4																																																							Featured		PATK Boost I	PATK Boost I	△ Triangle Boost I (+2)		No limit
1008	Cloud	Organics	Shock Slice	Non-Elemental	750.0	Single Enemy	Deal 750.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nApplies Status Ailment: Stun [Rng: Single Enemy] [Dur: 5s] [Ext: 2s]\n[Crit rate:10.0%] 	Phys.	4		Status Ailment: Stun			5		2			Single Enemy	StatusConditionEffect	Crit Rate						10.0%		Single Enemy	AdditionalEffect																																		Featured		ATK Boost I	ATK Boost I	HEAL Boost I		No limit
1009	Cloud	Crystal Sword	Healing Wave	Heal	72.0	All Allies	Mag. heal is cast [72.0% of Healing Pot.] [Rng: All Allies] 	Mag.	5																																																							Featured		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1012	Cloud	Enhance Sword	Blizzaga A	Ice	520.0	All Enemies	Deal 520.0% Mag. Ice damage [Rng: All Enemies] 	Mag.	4																																																							Featured		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1013	Cloud	Nail Bat	Disorder	Non-Elemental	1600.0	Single Enemy	Deal 1600.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	5		Crit Rate						10.0%		Single Enemy	AdditionalEffect																																												Guild		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1015	Cloud	Apocalypse	Bloody End	Non-Elemental	940.0	Single Enemy	Deal 940.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	4		Crit Rate						10.0%		Single Enemy	AdditionalEffect																																												Featured		PATK Boost I	PATK Boost I	PATK Boost I		No limit
1020	Cloud	Maritime Sword	Seasplitter	Water	750.0	Single Enemy	Deal 750.0% Phys. Water damage [Rng: Single Enemy] 	Phys.	4																																																							Featured		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
1021	Cloud	Full Throttle	Icicle Axle	Ice	1120.0	Single Enemy	Deal 1120.0% Mag. Ice damage [Rng: Single Enemy] \nMATK Up [Pot: Mid] [Rng: Self] [Dur: 30s] [Ext: 10s] [Max pot: High] \nWhen hitting target's weakness, MDEF Down [Pot: Mid] [Rng: Single Enemy] [Dur: 30s] [Ext: 10s] [Max pot: High] 	Mag.	4		MATK Up			30		10	Mid	High	Self	BuffDebuff	MDEF Down	When hitting target's weakness		30		10	Mid	High	Single Enemy	BuffDebuff																																		Featured		MATK Boost I	MATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
