Id	Character	Name	Ability Element	Ability Pot. %	Ability Range	Ability Text	Ability Type	Command ATB	Command Sigil	Effect0	Effect0_Condition	Effect0_Duration	Effect0_EffectCount	Effect0_Extend	Effect0_Pot	Effect0_PotMax	Effect0_Range	Effect0_Type	Effect1	Effect1_Condition	Effect1_Duration	Effect1_EffectCount	Effect1_Extend	Effect1_Pot	Effect1_PotMax	Effect1_Range	Effect1_Type	Effect2	Effect2_Condition	Effect2_Duration	Effect2_EffectCount	Effect2_Extend	Effect2_Pot	Effect2_PotMax	Effect2_Range	Effect2_Type	Effect3	Effect3_Condition	Effect3_Duration	Effect3_Extend	Effect3_Pot	Effect3_Range	Effect3_Type	GachaType	Initial Charge Time	MateriaSupport0	MateriaSupport1	MateriaSupport2	Recharge Time	Use Count
1001	Cloud	Buster Sword	Non-Elemental	750.0	Single Enemy	Deal 750.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] \nWhen matching sigils are destroyed, x1.5 damage 	Phys.	4	✕ Cross	Crit Rate					10.0%		Single Enemy	AdditionalEffect	Multiply Damage	When matching sigils are destroyed				150.0%		Single Enemy	AdditionalEffect																	Event		ATK Boost I	ATK Boost I	PATK Boost I		No limit
1002	Cloud	Iron Blade	Non-Elemental	350.0	All Enemies	Deal 350.0% Phys. Non-Elemental damage [Rng: All Enemies] \nPATK Down [Pot: Mid] [Rng: All Enemies] [Dur: 25s] [Ext: 8s] [Max pot: Mid] \n[Crit rate:10.0%] 	Phys.	4		PATK Down		25		8	Mid	Mid	All Enemies	BuffDebuff	Crit Rate					10.0%		All Enemies	AdditionalEffect																	Featured		PATK Boost I	PATK Boost I	ATK Boost (Wind) I		No limit
1003	Cloud	Hardedge	Non-Elemental	510.0	Single Enemy	Deal 510.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nPDEF Down [Pot: High] [Rng: Single Enemy] [Dur: 25s] [Ext: 8s] [Max pot: High] \n[Crit rate:10.0%] 	Phys.	4		PDEF Down		25		8	High	High	Single Enemy	BuffDebuff	Crit Rate					10.0%		Single Enemy	AdditionalEffect																	Featured		ATK Boost I	ATK Boost I	PATK Boost I		No limit
1004	Cloud	Mythril Saber	Non-Elemental	940.0	Single Enemy	Deal 940.0% Mag. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Mag.	4		Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Featured		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1006	Cloud	Butterfly Edge	Heal	14.0	Single Ally	Mag. heal is cast [14.0% of Healing Pot.] [Rng: Single Ally] \nPDEF Up [Pot: High] [Rng: Single Ally] [Dur: 38s] [Ext: 12s] [Max pot: High] 	Mag.	4		PDEF Up		38		12	High	High	Single Ally	BuffDebuff																										Featured		ATK Boost I	ATK Boost I	ATK Boost (Ice) I		No limit
1007	Cloud	Murasame	Lightning	750.0	Single Enemy	Deal 750.0% Phys. Lightning damage [Rng: Single Enemy] 	Phys.	4																																				Featured		PATK Boost I	PATK Boost I	✕ Cross Sigil Boost I (+2)		No limit
1008	Cloud	Organics	Non-Elemental	750.0	Single Enemy	Deal 750.0% Phys. Non-Elemental damage [Rng: Single Enemy] \nApplies Status Ailment: Stun [Rng: Single Enemy] [Dur: 5s] [Ext: 2s]\n[Crit rate:10.0%] 	Phys.	4		Status Ailment: Stun		5		2			Single Enemy	StatusConditionEffect	Crit Rate					10.0%		Single Enemy	AdditionalEffect																	Featured		ATK Boost I	ATK Boost I	HEAL Boost I		No limit
1009	Cloud	Crystal Sword	Heal	72.0	All Allies	Mag. heal is cast [72.0% of Healing Pot.] [Rng: All Allies] 	Mag.	5																																				Featured		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1012	Cloud	Enhance Sword	Ice	520.0	All Enemies	Deal 520.0% Mag. Ice damage [Rng: All Enemies] 	Mag.	4																																				Featured		ATK Boost I	MATK Boost I	MATK Boost I		No limit
1013	Cloud	Nail Bat	Non-Elemental	1600.0	Single Enemy	Deal 1600.0% Phys. Non-Elemental damage [Rng: Single Enemy] \n[Crit rate:10.0%] 	Phys.	5		Crit Rate					10.0%		Single Enemy	AdditionalEffect																										Guild		PATK Boost I	PATK Boost I	◯ Circle Sigil Boost I (+2)		No limit
